Network,Station,Name,Latitude,Longitude,Elevation,Sensitivity,Site,Vs30
GIFU,N.TNMH,GIFU N.TNMH BHZ ,35.521400,136.612700,75.0,70000000000.0,,
SHIZUOKA,N.INSH,SHIZUOKA N.INSH BHZ ,34.834300,137.661600,19.2,70000000000.0,,
NAGANO,N.AHMH,NAGANO N.AHMH BHZ ,36.313700,137.807200,982.0,70000000000.0,,
MIYAGI,N.TOWH,MIYAGI N.TOWH BHZ ,38.786000,141.325400,35.0,70000000000.0,,
AICHI,N.NUKH,AICHI N.NUKH BHZ ,34.918900,137.299300,90.0,70000000000.0,,
IBARAKI,N.IWSH,IBARAKI N.IWSH BHZ ,36.370100,140.140100,67.0,70000000000.0,,
TOTTORI,N.HINH,TOTTORI N.HINH BHZ ,35.231300,133.390900,410.0,70000000000.0,,
AICHI,N.ANJH,AICHI N.ANJH BHZ ,34.931900,137.056800,5.0,70000000000.0,,
HOKKAIDO,N.NSTH,HOKKAIDO N.NSTH BHZ ,43.550800,144.966500,30.0,70000000000.0,,
IBARAKI,N.NMTH,IBARAKI N.NMTH BHZ ,36.365400,140.580500,23.0,70000000000.0,,
HIROSHIMA,N.HISH,HIROSHIMA N.HISH BHZ ,34.412200,132.390700,150.0,70000000000.0,,
HIROSHIMA,N.KTWH,HIROSHIMA N.KTWH BHZ ,34.913700,132.912300,340.0,70000000000.0,,
SHIZUOKA,N.KNEH,SHIZUOKA N.KNEH BHZ ,34.939800,138.076700,145.0,70000000000.0,,
AICHI,N.MCTH,AICHI N.MCTH BHZ ,34.740100,136.938500,20.0,70000000000.0,,
SHIZUOKA,N.FKRH,SHIZUOKA N.FKRH BHZ ,34.794800,137.903400,22.7,70000000000.0,,
KOCHI,N.KTGH,KOCHI N.KTGH BHZ ,33.542100,134.119700,230.0,70000000000.0,,
IWATE,N.RZTH,IWATE N.RZTH BHZ ,39.030700,141.532000,80.0,70000000000.0,,
HOKKAIDO,N.CTSH,HOKKAIDO N.CTSH BHZ ,42.888000,141.639900,10.0,70000000000.0,,
IBARAKI,N.KGRH,IBARAKI N.KGRH BHZ ,36.086400,140.314000,20.0,70000000000.0,,
EHIME,N.MYKH,EHIME N.MYKH BHZ ,34.191800,133.058100,5.0,70000000000.0,,
SHIMANE,N.HIRH,SHIMANE N.HIRH BHZ ,35.425900,132.800800,30.0,70000000000.0,,
IBARAKI,N.THGH,IBARAKI N.THGH BHZ ,36.795500,140.575000,505.0,70000000000.0,,
MIYAZAKI,N.MRTH,MIYAZAKI N.MRTH BHZ ,32.518100,131.334900,250.0,70000000000.0,,
KOCHI,N.GSIH,KOCHI N.GSIH BHZ ,33.529400,133.819200,40.0,70000000000.0,,
KOCHI,N.IKKH,KOCHI N.IKKH BHZ ,33.647200,133.144400,260.0,70000000000.0,,
HYOGO,N.TJOH,HYOGO N.TJOH BHZ ,34.908200,135.084400,140.0,70000000000.0,,
IWATE,N.IW2H,IWATE N.IW2H BHZ ,39.009500,140.864000,380.0,70000000000.0,,
NIIGATA,N.KMOH,NIIGATA N.KMOH BHZ ,37.652700,139.067600,30.0,70000000000.0,,
TOYAMA,N.TOYH,TOYAMA N.TOYH BHZ ,36.729400,137.262700,8.0,70000000000.0,,
OITA,N.UMWH,OITA N.UMWH BHZ ,32.839200,131.535700,260.0,70000000000.0,,
GIFU,N.GERH,GIFU N.GERH BHZ ,35.730600,137.302100,620.0,70000000000.0,,
CHIBA,N.SSAH,CHIBA N.SSAH BHZ ,35.721500,140.504600,35.0,70000000000.0,,
OITA,N.MIEH,OITA N.MIEH BHZ ,32.987000,131.588100,160.0,70000000000.0,,
MIYAZAKI,N.NRAH,MIYAZAKI N.NRAH BHZ ,32.198700,131.194600,235.0,70000000000.0,,
HOKKAIDO,N.BEWH,HOKKAIDO N.BEWH BHZ ,43.511300,142.390600,315.0,70000000000.0,,
YAMAGATA,N.NKWH,YAMAGATA N.NKWH BHZ ,38.386000,139.991600,465.0,70000000000.0,,
AKITA,N.NSEH,AKITA N.NSEH BHZ ,39.557500,140.611600,95.0,70000000000.0,,
GIFU,N.TKTH,GIFU N.TKTH BHZ ,35.503800,136.793900,28.0,70000000000.0,,
SHIZUOKA,N.KMTH,SHIZUOKA N.KMTH BHZ ,35.033100,138.214600,220.0,70000000000.0,,
HOKKAIDO,N.NCPH,HOKKAIDO N.NCPH BHZ ,42.597700,142.544600,305.0,70000000000.0,,
GIFU,N.ITDH,GIFU N.ITDH BHZ ,35.723500,136.784700,350.0,70000000000.0,,
HOKKAIDO,N.TRWH,HOKKAIDO N.TRWH BHZ ,43.255600,144.233800,114.0,70000000000.0,,
HIROSHIMA,N.NMKH,HIROSHIMA N.NMKH BHZ ,34.378500,133.349300,25.0,70000000000.0,,
HOKKAIDO,N.TREH,HOKKAIDO N.TREH BHZ ,43.220000,144.428500,30.0,70000000000.0,,
HOKKAIDO,N.MRRH,HOKKAIDO N.MRRH BHZ ,42.411600,141.001700,400.0,70000000000.0,,
HOKKAIDO,N.SZNH,HOKKAIDO N.SZNH BHZ ,42.349800,142.357200,10.0,70000000000.0,,
FUKUI,N.IZUH,FUKUI N.IZUH BHZ ,35.941500,136.699000,510.0,70000000000.0,,
GIFU,N.HMAH,GIFU N.HMAH BHZ ,35.276800,136.700200,5.0,70000000000.0,,
HIROSHIMA,N.HHIH,HIROSHIMA N.HHIH BHZ ,34.457200,132.792300,235.0,70000000000.0,,
GUNMA,N.SMNH,GUNMA N.SMNH BHZ ,36.235600,138.729100,340.0,70000000000.0,,
