Network,Station,Name,Latitude,Longitude,Elevation,Sensitivity,Site,Vs30
YN,D8114,YN D8114 BHZ ,26.240000,104.110000,0.0,70000000000.0,,
YN,QL001,YN QL001 BHZ ,26.870000,99.380000,0.0,70000000000.0,,
XZ,A0047,XZ A0047 BHZ ,29.750000,91.450000,0.0,70000000000.0,,
YN,E0109,YN E0109 BHZ ,25.010000,100.950000,0.0,70000000000.0,,
YN,L2903,YN L2903 BHZ ,25.710000,99.400000,0.0,70000000000.0,,
GZ,F0002,GZ F0002 BHZ ,27.300000,105.270000,0.0,70000000000.0,,
GS,WUDMJ,GS WUDMJ BHZ ,33.540000,104.920000,0.0,70000000000.0,,
HE,B0043,HE B0043 BHZ ,39.500000,118.410000,0.0,70000000000.0,,
CQ,TOLTP,CQ TOLTP BHZ ,29.920000,105.980000,0.0,70000000000.0,,
GS,K0039,GS K0039 BHZ ,33.840000,105.220000,0.0,70000000000.0,,
JS,F0003,JS F0003 BHZ ,32.400000,120.820000,0.0,70000000000.0,,
TJ,A0034,TJ A0034 BHZ ,38.750000,116.770000,0.0,70000000000.0,,
XJ,AHQ,XJ AHQ BHZ ,40.930000,78.460000,0.0,70000000000.0,,
SC,UM006,SC UM006 BHZ ,31.870000,102.480000,0.0,70000000000.0,,
SC,T2602,SC T2602 BHZ ,30.270000,102.940000,0.0,70000000000.0,,
GD,A1803,GD A1803 BHZ ,23.170000,113.750000,0.0,70000000000.0,,
YN,PY003,YN PY003 BHZ ,26.760000,100.490000,0.0,70000000000.0,,
FJ,C5204,FJ C5204 BHZ ,25.150000,118.820000,0.0,70000000000.0,,
YN,FE003,YN FE003 BHZ ,24.080000,102.200000,0.0,70000000000.0,,
LN,B0025,LN B0025 BHZ ,39.770000,122.470000,0.0,70000000000.0,,
GS,ZQUQG,GS ZQUQG BHZ ,33.360000,104.670000,0.0,70000000000.0,,
SC,UL002,SC UL002 BHZ ,31.530000,102.900000,0.0,70000000000.0,,
SC,V2471,SC V2471 BHZ ,28.820000,101.630000,0.0,70000000000.0,,
YN,P2204,YN P2204 BHZ ,26.310000,100.630000,0.0,70000000000.0,,
SC,V3172,SC V3172 BHZ ,31.370000,98.910000,0.0,70000000000.0,,
GX,LZXZS,GX LZXZS BHZ ,24.590000,109.920000,0.0,70000000000.0,,
YN,S0205,YN S0205 BHZ ,23.660000,100.320000,0.0,70000000000.0,,
SC,UA001,SC UA001 BHZ ,32.860000,101.990000,0.0,70000000000.0,,
SC,U2605,SC U2605 BHZ ,31.810000,101.490000,0.0,70000000000.0,,
SC,NLXJ,SC NLXJ BHZ ,32.360000,100.360000,0.0,70000000000.0,,
YN,C2806,YN C2806 BHZ ,27.480000,104.010000,0.0,70000000000.0,,
SC,MXTM,SC MXTM BHZ ,31.770000,104.070000,0.0,70000000000.0,,
XJ,NA003,XJ NA003 BHZ ,40.700000,81.770000,0.0,70000000000.0,,
GS,J000B,GS J000B BHZ ,35.850000,104.580000,0.0,70000000000.0,,
GD,RQ002,GD RQ002 BHZ ,23.710000,112.920000,0.0,70000000000.0,,
FJ,H2007,FJ H2007 BHZ ,27.050000,117.870000,0.0,70000000000.0,,
GS,PZ003,GS PZ003 BHZ ,34.840000,103.470000,0.0,70000000000.0,,
YN,E3110,YN E3110 BHZ ,25.330000,101.690000,0.0,70000000000.0,,
YN,K0105,YN K0105 BHZ ,21.720000,100.770000,0.0,70000000000.0,,
SC,W2506,SC W2506 BHZ ,26.270000,102.260000,0.0,70000000000.0,,
QH,D0016,QH D0016 BHZ ,35.740000,102.050000,0.0,70000000000.0,,
GS,L0037,GS L0037 BHZ ,35.450000,106.580000,0.0,70000000000.0,,
SC,D2215,SC D2215 BHZ ,26.920000,101.350000,0.0,70000000000.0,,
FJ,C5615,FJ C5615 BHZ ,25.620000,118.080000,0.0,70000000000.0,,
GX,AN001,GX AN001 BHZ ,22.950000,108.540000,0.0,70000000000.0,,
