Network,Station,Name,Latitude,Longitude,Elevation,Sensitivity,Site,Vs30
GD,L2214,GD L2214 BHZ ,23.240000,114.050000,0.0,70000000000.0,,
YN,E2211,YN E2211 BHZ ,24.610000,101.850000,0.0,70000000000.0,,
YN,L2408,YN L2408 BHZ ,25.790000,100.470000,0.0,70000000000.0,,
YN,S2502,YN S2502 BHZ ,23.630000,99.870000,0.0,70000000000.0,,
SC,V3802,SC V3802 BHZ ,28.300000,99.270000,0.0,70000000000.0,,
FJ,G5001,FJ G5001 BHZ ,26.090000,117.830000,0.0,70000000000.0,,
HE,T0005,HE T0005 BHZ ,37.960000,116.420000,0.0,70000000000.0,,
SC,M2102,SC M2102 BHZ ,29.940000,105.280000,0.0,70000000000.0,,
XJ,RUQ,XJ RUQ BHZ ,38.970000,88.840000,0.0,70000000000.0,,
YN,SZK01,YN SZK01 BHZ ,23.890000,99.000000,0.0,70000000000.0,,
QH,D0001,QH D0001 BHZ ,35.620000,102.070000,0.0,70000000000.0,,
CQ,JD001,CQ JD001 BHZ ,29.720000,105.710000,0.0,70000000000.0,,
SC,Q2103,SC Q2103 BHZ ,28.890000,104.410000,0.0,70000000000.0,,
YN,D2624,YN D2624 BHZ ,26.730000,103.570000,0.0,70000000000.0,,
NX,D0015,NX D0015 BHZ ,35.840000,106.370000,0.0,70000000000.0,,
XJ,N0004,XJ N0004 BHZ ,41.750000,80.880000,0.0,70000000000.0,,
SD,C0008,SD C0008 BHZ ,36.910000,118.060000,0.0,70000000000.0,,
YN,S2110,YN S2110 BHZ ,24.550000,100.080000,0.0,70000000000.0,,
GD,P2116,GD P2116 BHZ ,23.590000,115.110000,0.0,70000000000.0,,
HE,F0083,HE F0083 BHZ ,38.520000,114.800000,0.0,70000000000.0,,
YN,A1102,YN A1102 BHZ ,24.950000,102.700000,0.0,70000000000.0,,
GD,G8213,GD G8213 BHZ ,20.860000,109.910000,0.0,70000000000.0,,
GS,N0055,GS N0055 BHZ ,36.150000,103.030000,0.0,70000000000.0,,
SC,Q2301,SC Q2301 BHZ ,28.480000,105.080000,0.0,70000000000.0,,
GS,HL005,GS HL005 BHZ ,37.800000,102.530000,0.0,70000000000.0,,
SC,NXDP,SC NXDP BHZ ,28.740000,104.950000,0.0,70000000000.0,,
GD,G8115,GD G8115 BHZ ,21.580000,110.060000,0.0,70000000000.0,,
GD,P2105,GD P2105 BHZ ,23.690000,114.960000,0.0,70000000000.0,,
XJ,N0055,XJ N0055 BHZ ,40.320000,79.070000,0.0,70000000000.0,,
SD,R0012,SD R0012 BHZ ,35.000000,115.330000,0.0,70000000000.0,,
FJ,G5016,FJ G5016 BHZ ,25.550000,117.770000,0.0,70000000000.0,,
GS,HL016,GS HL016 BHZ ,37.840000,102.750000,0.0,70000000000.0,,
XJ,B004C,XJ B004C BHZ ,43.970000,86.070000,0.0,70000000000.0,,
GD,LH013,GD LH013 BHZ ,22.810000,114.430000,0.0,70000000000.0,,
NM,HQ001,NM HQ001 BHZ ,42.230000,116.000000,0.0,70000000000.0,,
XJ,F0076,XJ F0076 BHZ ,43.840000,81.460000,0.0,70000000000.0,,
SC,V2601,SC V2601 BHZ ,30.510000,101.500000,0.0,70000000000.0,,
HE,B0006,HE B0006 BHZ ,39.230000,118.070000,0.0,70000000000.0,,
SN,E0066,SN E0066 BHZ ,35.020000,110.200000,0.0,70000000000.0,,
GD,M0312,GD M0312 BHZ ,24.510000,116.210000,0.0,70000000000.0,,
NX,E0004,NX E0004 BHZ ,36.830000,105.980000,0.0,70000000000.0,,
FJ,D2302,FJ D2302 BHZ ,24.590000,117.910000,0.0,70000000000.0,,
SC,C2204,SC C2204 BHZ ,29.070000,104.950000,0.0,70000000000.0,,
GD,H0303,GD H0303 BHZ ,23.220000,112.600000,0.0,70000000000.0,,
XJ,M0015,XJ M0015 BHZ ,42.510000,86.260000,0.0,70000000000.0,,
YN,G2502,YN G2502 BHZ ,23.760000,102.410000,0.0,70000000000.0,,
YN,YUL,YN YUL BHZ ,25.890000,99.370000,0.0,70000000000.0,,
SD,D0021,SD D0021 BHZ ,34.790000,117.290000,0.0,70000000000.0,,
SX,K000F,SX K000F BHZ ,37.460000,113.920000,0.0,70000000000.0,,
FJ,A9002,FJ A9002 BHZ ,26.190000,118.660000,0.0,70000000000.0,,
SD,P0048,SD P0048 BHZ ,36.130000,115.890000,0.0,70000000000.0,,
GD,AN001,GD AN001 BHZ ,22.640000,113.600000,0.0,70000000000.0,,
SD,N002B,SD N002B BHZ ,36.640000,116.660000,0.0,70000000000.0,,
YN,C2220,YN C2220 BHZ ,27.090000,103.240000,0.0,70000000000.0,,
GS,P0045,GS P0045 BHZ ,34.830000,102.570000,0.0,70000000000.0,,
SN,F0016,SN F0016 BHZ ,33.050000,106.300000,0.0,70000000000.0,,
GS,E000C,GS E000C BHZ ,34.810000,105.150000,0.0,70000000000.0,,
GS,J0018,GS J0018 BHZ ,35.240000,104.010000,0.0,70000000000.0,,
FJ,E6702,FJ E6702 BHZ ,24.360000,117.390000,0.0,70000000000.0,,
YN,L2309,YN L2309 BHZ ,25.310000,100.900000,0.0,70000000000.0,,
SC,GZXJ,SC GZXJ BHZ ,30.790000,101.940000,0.0,70000000000.0,,
GD,L0302,GD L0302 BHZ ,23.000000,114.590000,0.0,70000000000.0,,
AH,EX001,AH EX001 BHZ ,31.740000,118.330000,0.0,70000000000.0,,
NM,H0010,NM H0010 BHZ ,42.090000,116.660000,0.0,70000000000.0,,
SC,B0405,SC B0405 BHZ ,31.390000,105.010000,0.0,70000000000.0,,
GS,GLGMQ,GS GLGMQ BHZ ,37.410000,103.360000,0.0,70000000000.0,,
FJ,AXCN,FJ AXCN BHZ ,25.080000,118.210000,0.0,70000000000.0,,
SD,J0023,SD J0023 BHZ ,35.980000,117.530000,0.0,70000000000.0,,
SC,A1401,SC A1401 BHZ ,30.880000,104.120000,0.0,70000000000.0,,
YN,M2107,YN M2107 BHZ ,24.780000,99.160000,0.0,70000000000.0,,
GS,J003D,GS J003D BHZ ,34.440000,103.920000,0.0,70000000000.0,,
SD,N000F,SD N000F BHZ ,37.340000,116.960000,0.0,70000000000.0,,
LN,WFD,LN WFD BHZ ,39.580000,121.760000,0.0,70000000000.0,,
SC,F2305,SC F2305 BHZ ,30.760000,105.010000,0.0,70000000000.0,,
XJ,N0027,XJ N0027 BHZ ,42.090000,81.890000,0.0,70000000000.0,,
GX,ML002,GX ML002 BHZ ,25.090000,109.000000,0.0,70000000000.0,,
FJ,H2005,FJ H2005 BHZ ,27.120000,117.860000,0.0,70000000000.0,,
QH,B0077,QH B0077 BHZ ,36.100000,102.360000,0.0,70000000000.0,,
NX,B0018,NX B0018 BHZ ,38.750000,106.410000,0.0,70000000000.0,,
HA,E0001,HA E0001 BHZ ,35.530000,114.800000,0.0,70000000000.0,,
GD,M0309,GD M0309 BHZ ,24.650000,116.440000,0.0,70000000000.0,,
SC,R2302,SC R2302 BHZ ,30.910000,106.530000,0.0,70000000000.0,,
SD,J0025,SD J0025 BHZ ,35.810000,117.630000,0.0,70000000000.0,,
