network,station,name,lat,lon,alt,sensitivity,site,vs30
QH,EX020,EX020,35.58000,100.00000,0,70000000000.0,地表,292.97
QH,D0026,D0026,35.23000,101.00000,0,70000000000.0,地表,487.26
QH,D0030,D0030,35.20000,100.85000,0,70000000000.0,地表,311.40
QH,D0038,D0038,35.39000,100.93000,0,70000000000.0,地表,418.47
QH,D0039,D0039,35.31000,101.03000,0,70000000000.0,地表,466.11
QH,E0001,E0001,36.37000,100.72000,0,70000000000.0,地表,460.23
QH,E0003,E0003,36.48000,100.81000,0,70000000000.0,地表,316.66
QH,E0005,E0005,36.51000,100.75000,0,70000000000.0,地表,437.33
QH,E0006,E0006,36.20000,100.91000,0,70000000000.0,地表,582.48
QH,E0007,E0007,36.29000,100.95000,0,70000000000.0,地表,434.55
QH,E0008,E0008,36.42000,101.05000,0,70000000000.0,地表,514.36
QH,E0012,E0012,35.52000,100.91000,0,70000000000.0,地表,327.11
QH,E0025,E0025,36.14000,101.06000,0,70000000000.0,地表,632.10
QH,E0030,E0030,35.89000,101.06000,0,70000000000.0,地表,589.57
QH,E0031,E0031,35.96000,100.88000,0,70000000000.0,地表,545.78
QH,E0032,E0032,36.12000,100.93000,0,70000000000.0,地表,526.79
QH,E0034,E0034,35.89000,100.97000,0,70000000000.0,地表,483.68
QH,E0035,E0035,35.78000,101.06000,0,70000000000.0,地表,449.17
QH,E0038,E0038,35.54000,100.65000,0,70000000000.0,地表,365.88
QH,E0041,E0041,35.45000,101.01000,0,70000000000.0,地表,455.77
QH,E0042,E0042,35.60000,100.44000,0,70000000000.0,地表,413.30
QH,E0043,E0043,35.27000,100.40000,0,70000000000.0,地表,450.68
QH,E0044,E0044,35.20000,100.41000,0,70000000000.0,地表,529.07
QH,E0045,E0045,35.20000,100.57000,0,70000000000.0,地表,495.06
QH,EG015,EG015,36.32000,100.62000,0,70000000000.0,地表,496.32
QH,EG052,EG052,36.07000,100.09000,0,70000000000.0,地表,274.98
QH,EN021,EN021,35.59000,100.74000,0,70000000000.0,地表,447.92
QH,ET018,ET018,35.26000,100.54000,0,70000000000.0,地表,400.70
