network,station,name,lat,lon,alt,sensitivity,site,vs30
TW,ALS,Alishan Weather Station,23.508380,120.813410,2417.0,112381514.6,CWASN,
TW,ANP,An-Bu Weather Station,25.182767,121.529353,836.0,310029.5,CWASN,
TW,BAC,Taipei Weather Station,24.997461,121.441816,15.0,304828.9,CWASN,
TW,CCUH,National Chung Cheng University,23.566317,120.467547,51.5,407999.9,CWASN,
TW,CHK,Cheng-Gong Weather Station,23.097802,121.373148,37.0,1858094960.1,CWASN,
TW,CHKH,Bo-ai Elementary School,23.191771,121.395655,11.0,155599.4,CWASN,
TW,CHN1,Nansi,23.184869,120.528566,215.0,112381514.6,CWASN,
TW,CHN2,Minsyong,23.531904,120.474355,102.0,112381514.6,CWASN,
TW,CHN3,Sin-Hua,23.075270,120.364070,55.0,112381514.6,CWASN,
TW,CHN4,Cao-Shan,23.351260,120.594010,956.0,112381514.6,CWASN,
TW,CHN5,Caoling,23.597212,120.676901,801.0,112381514.6,CWASN,
TW,CHN8,Yi-Jhu Elementary School Pi-Chian Branch,23.347334,120.222701,6.0,112381514.6,CWASN,
TW,CHY,Chiayi Weather Station,23.496288,120.432525,31.0,304828.9,CWASN,
TW,CHY1,"Fire Bureau,Chiayi County",23.457018,120.293883,10.0,311799.0,CWASN,
TW,DOSB,Dongsha Island,20.701000,116.730600,5.0,240621109.9,CWASN,
TW,DPDB,Da-Ping-Ding,24.033474,120.926486,641.0,1858094960.1,CWASN,
TW,EAH,Aohua Elementary School,24.329347,121.739307,56.0,155212.3,CWASN,
TW,EAS,An-Shuo Elementary School Sin-Hua Branch,22.381990,120.856353,457.0,304828.9,CWASN,
TW,ECB,Chang-Bin Elementary School,23.316352,121.451163,63.0,312070.7,CWASN,
TW,ECL,Jia-Lan Elementary School,22.595697,120.961696,88.0,112381514.6,CWASN,
TW,ECS,Wan-An Elementary School,23.095175,121.219174,286.0,307921.9,CWASN,
TW,EDH,Dong-He Elementary School,22.972505,121.303974,46.0,155212.3,CWASN,
TW,EGC,Ji-Ci Elementary School,23.707805,121.547557,9.0,308078.1,CWASN,
TW,EGFH,Guangfu Senior Comm. & Ind. Vocational High School,23.668857,121.427475,126.0,1854830803.8,CWASN,
TW,EGS,Gui-Shan Island,24.842710,121.943750,20.0,304828.9,CWASN,
TW,EHD,Guang-Yuan Elementary School,23.148822,121.206105,295.0,156772.2,CWASN,
TW,EHP,He-Ping Elementary School,24.308987,121.749420,27.0,309386.6,CWASN,
TW,EHY,Hong-Ye,23.503815,121.329910,249.0,316268.8,CWASN,
TW,EHYH,Hung-Ya elementary school,23.493947,121.345110,173.0,154062.6,CWASN,
TW,ELD,Wu-Lu Elementary School Li-Dao Branch,23.187078,121.025060,1058.0,112381514.6,CWASN,
TW,ENA,Jin-Yang Elementary School,24.425911,121.749006,123.0,304828.9,CWASN,
TW,ENAH,Nanao,24.449400,121.810200,4.0,154827.1,CWASN,
TW,ENLB,Yanliao,23.903600,121.601700,71.0,1864969848.9,CWASN,
TW,ENT,Nioudou,24.637814,121.573655,252.0,304828.9,CWASN,
TW,ESA,Yongle Elementary School,24.575723,121.843858,48.0,624311950.1,CWASN,
TW,ESL,Si-Lin Elementary School,23.812032,121.441614,180.0,304828.9,CWASN,
TW,ETL,Taroko National Park Administation Office,24.158681,121.622944,118.0,310309.5,CWASN,
TW,ETLH,Shi-Bau elementary school,24.206775,121.481739,1005.0,318057.2,CWASN,
TW,ETM,Tong-Men Elementary School,23.965891,121.492787,170.0,308793.1,CWASN,
TW,EWT,Wu-Ta elementary school,24.445000,121.778311,40.0,155599.4,CWASN,
TW,EYL,Yan-Liao,23.903518,121.601721,66.0,308157.1,CWASN,
TW,EYUL,Yu-Li senior high school,23.347237,121.319127,138.0,155599.4,CWASN,
TW,FULB,Fu-Li,23.198772,121.293910,372.0,249342678.8,CWASN,
TW,FUSS,Fushoushan Farm,24.247570,121.243770,2223.0,154062.6,CWASN,
TW,HEN,Heng-Chun Weather Station,22.003760,120.745981,26.0,304828.9,CWASN,
TW,HSN,Hsinchu Weather Station,24.828271,121.014189,31.0,310612.7,CWASN,
TW,HSN1,Hshinchu Yuancyu Experimental High School,24.778640,121.018185,91.0,309751.9,CWASN,
TW,HWA,Hualien Weather Station,23.975010,121.613486,18.0,304828.9,CWASN,
