Network,Station,Name,Latitude,Longitude,Elevation,Sensitivity,Site,Vs30
BR,B0063,BR B0063 BHZ ,39.793955,112.771302,0.0,70000000000.0,,
BR,B0064,BR B0064 BHZ ,40.356364,112.822988,0.0,70000000000.0,,
BR,B0065,BR B0065 BHZ ,40.817599,112.975076,0.0,70000000000.0,,
BR,B0066,BR B0066 BHZ ,41.151852,113.465723,0.0,70000000000.0,,
BR,B0067,BR B0067 BHZ ,41.312566,114.063594,0.0,70000000000.0,,
BR,B0068,BR B0068 BHZ ,41.191850,114.676621,0.0,70000000000.0,,
BR,B0069,BR B0069 BHZ ,40.783517,115.020278,0.0,70000000000.0,,
BR,B0070,BR B0070 BHZ ,40.301630,115.224165,0.0,70000000000.0,,
BR,B0071,BR B0071 BHZ ,39.781096,115.289472,0.0,70000000000.0,,
BR,B0072,BR B0072 BHZ ,39.257448,115.262919,0.0,70000000000.0,,
BR,B0073,BR B0073 BHZ ,38.720769,114.832462,0.0,70000000000.0,,
BR,B0074,BR B0074 BHZ ,38.286830,114.446175,0.0,70000000000.0,,
BR,B0075,BR B0075 BHZ ,37.886525,114.105375,0.0,70000000000.0,,
BR,B0076,BR B0076 BHZ ,37.516544,113.720188,0.0,70000000000.0,,
BR,B0077,BR B0077 BHZ ,37.074395,113.384306,0.0,70000000000.0,,
BR,B0078,BR B0078 BHZ ,36.633217,113.138345,0.0,70000000000.0,,
BR,B0079,BR B0079 BHZ ,36.116785,112.896404,0.0,70000000000.0,,
BR,B0080,BR B0080 BHZ ,39.854768,112.581885,0.0,70000000000.0,,
BR,B0081,BR B0081 BHZ ,40.338691,112.451591,0.0,70000000000.0,,
BR,B0082,BR B0082 BHZ ,40.591519,111.914658,0.0,70000000000.0,,
BR,B0083,BR B0083 BHZ ,40.834209,111.228944,0.0,70000000000.0,,
BR,B0084,BR B0084 BHZ ,40.898676,110.553162,0.0,70000000000.0,,
BR,B0085,BR B0085 BHZ ,40.682354,109.953426,0.0,70000000000.0,,
BR,B0086,BR B0086 BHZ ,40.199013,109.626774,0.0,70000000000.0,,
BR,B0087,BR B0087 BHZ ,39.685280,109.400290,0.0,70000000000.0,,
BR,B0088,BR B0088 BHZ ,39.184764,109.362778,0.0,70000000000.0,,
BR,B0089,BR B0089 BHZ ,38.737706,109.554094,0.0,70000000000.0,,
BR,B0090,BR B0090 BHZ ,38.347716,110.016347,0.0,70000000000.0,,
BR,B0091,BR B0091 BHZ ,38.065449,110.507355,0.0,70000000000.0,,
BR,B0092,BR B0092 BHZ ,37.784251,111.037498,0.0,70000000000.0,,
BR,B0093,BR B0093 BHZ ,37.500297,111.560822,0.0,70000000000.0,,
BR,B0094,BR B0094 BHZ ,37.133613,111.947421,0.0,70000000000.0,,
BR,B0095,BR B0095 BHZ ,36.684673,112.199044,0.0,70000000000.0,,
