network,station,name,lat,lon,alt,sensitivity,site,vs30
HOKKAIDO,N.WNNH,WAKKANAI-N,45.488300,141.885000,45.0,70000000000.0,Hi-net,
HOKKAIDO,N.SFNH,SARUFUTSU-N,45.334600,142.118500,20.0,70000000000.0,Hi-net,
HOKKAIDO,N.WNWH,WAKKANAI-W,45.253100,141.633400,8.0,70000000000.0,Hi-net,
HOKKAIDO,N.WNEH,WAKKANAI-E,45.230300,141.880600,30.0,70000000000.0,Hi-net,
HOKKAIDO,N.SFSH,SARUFUTSU-S,45.216300,142.225400,5.0,70000000000.0,Hi-net,
HOKKAIDO,N.TYTH,TOYOTOMI,45.101900,141.783100,15.0,70000000000.0,Hi-net,
HOKKAIDO,N.HTBH,HAMATONBETSU,45.100100,142.430700,7.0,70000000000.0,Hi-net,
HOKKAIDO,N.HNBH,HORONOBE,45.016700,142.079500,30.0,70000000000.0,Hi-net,
HOKKAIDO,N.NTBH,NAKATONBETSU,44.938700,142.224700,40.0,70000000000.0,Hi-net,
HOKKAIDO,N.TSOH,TESHIO,44.894800,141.925100,10.0,70000000000.0,Hi-net,
HOKKAIDO,N.UNNH,UTANOBORI-N,44.857000,142.486800,20.0,70000000000.0,Hi-net,
HOKKAIDO,N.ONPH,OTOINEPPU,44.774500,142.254200,70.0,70000000000.0,Hi-net,
HOKKAIDO,N.UNSH,UTANOBORI-S,44.743300,142.603900,73.0,70000000000.0,Hi-net,
HOKKAIDO,N.NAWH,NAKAGAWA,44.661700,142.052800,65.0,70000000000.0,Hi-net,
HOKKAIDO,N.EBTH,ENBETSU,44.635900,141.818700,20.0,70000000000.0,Hi-net,
HOKKAIDO,N.BFNH,BIFUKA-N,44.597300,142.303600,61.0,70000000000.0,Hi-net,
HOKKAIDO,N.BFEH,BIFUKA-E,44.550900,142.573600,283.0,70000000000.0,Hi-net,
HOKKAIDO,N.OUMH,OUMU,44.527600,142.844400,105.0,70000000000.0,Hi-net,
HOKKAIDO,N.BFWH,BIFUKA-W,44.473200,142.272500,100.0,70000000000.0,Hi-net,
HOKKAIDO,N.NYRH,NAYORO,44.437600,142.405600,84.0,70000000000.0,Hi-net,
HOKKAIDO,N.OPWH,OKOPPE-W,44.423400,143.026400,38.0,70000000000.0,Hi-net,
HOKKAIDO,N.OPEH,OKOPPE-E,44.384300,143.240700,30.0,70000000000.0,Hi-net,
HOKKAIDO,N.SWEH,SHIMOKAWA-E,44.320700,142.765600,200.0,70000000000.0,Hi-net,
HOKKAIDO,N.SWWH,SHIMOKAWA-W,44.292100,142.630300,160.0,70000000000.0,Hi-net,
