network,station,name,lat,lon,alt,sensitivity,site,vs30
K-NET,AIC001,BISAI,35.297400,136.750500,5.0,70000000000.0,K-NET11A,
K-NET,AIC002,KOMAKI,35.297900,136.915400,21.0,70000000000.0,K-NET11A,
K-NET,AIC003,TSUSHIMA,35.173400,136.740200,-1.0,70000000000.0,K-NET11A,
K-NET,AIC004,NAGOYA,35.063100,136.973800,30.0,70000000000.0,K-NET11A,
K-NET,AIC005,FUJIOKA,35.198300,137.206100,134.0,70000000000.0,K-NET11A,
K-NET,AIC006,INABU,35.215800,137.508900,505.0,70000000000.0,K-NET11A,
K-NET,AIC008,SHITARA,35.100600,137.575700,479.0,70000000000.0,K-NET11A,
K-NET,AIC009,TOYOTA,35.081300,137.146600,55.0,70000000000.0,K-NET11A,
K-NET,AIC010,TSUKUDE,34.980300,137.429700,539.0,70000000000.0,K-NET11A,
K-NET,AIC011,CHITA,34.996600,136.864100,5.0,70000000000.0,K-NET11A,
K-NET,AIC012,ANJO,34.911900,137.044600,4.0,70000000000.0,K-NET11A,
K-NET,AIC013,NAGASHINO,34.952900,137.606700,92.0,70000000000.0,K-NET11A,
K-NET,AIC014,GAMAGORI,34.828500,137.219900,10.0,70000000000.0,K-NET11A,
K-NET,AIC015,TOYOHASHI,34.755200,137.404000,17.0,70000000000.0,K-NET11A,
K-NET,AIC016,MIHAMA,34.778400,136.908200,4.0,70000000000.0,K-NET11A,
K-NET,AIC017,TAHARA,34.669700,137.263800,10.0,70000000000.0,K-NET11A,
K-NET,AIC018,ATSUMI,34.622000,137.108600,22.0,70000000000.0,K-NET11A,
K-NET,AKT001,KOSAKA,40.328000,140.742900,166.0,70000000000.0,K-NET11B,
K-NET,AKT002,OHDATE,40.267600,140.566400,69.0,70000000000.0,K-NET11C,
K-NET,AKT003,FUJISATO,40.278400,140.263100,35.0,70000000000.0,K-NET11C,
K-NET,AKT004,HACHIMORI,40.388600,139.982200,27.0,70000000000.0,K-NET11C,
K-NET,AKT005,NOSHIRO,40.202000,140.028600,17.0,70000000000.0,K-NET11C,
K-NET,AKT006,KAZUNO,40.215300,140.787300,123.0,70000000000.0,K-NET11B,
K-NET,AKT007,KOTOOKA,40.037600,140.091900,17.0,70000000000.0,K-NET11C,
K-NET,AKT008,IITAGAWA,39.884000,140.070600,4.0,70000000000.0,K-NET11C,
K-NET,AKT009,OGA,39.886900,139.846700,16.0,70000000000.0,K-NET11C,
K-NET,AKT010,AKITA,39.722300,140.099800,6.0,70000000000.0,K-NET11C,
K-NET,AKT011,MIYATA,39.813300,140.580500,315.0,70000000000.0,K-NET11B,
K-NET,AKT012,TAZAWAKO,39.701400,140.717800,206.0,70000000000.0,K-NET11B,
K-NET,AKT013,KYOWA,39.607100,140.320900,39.0,70000000000.0,K-NET11C,
K-NET,AKT014,KAKUNODATE,39.595000,140.557300,56.0,70000000000.0,K-NET11B,
K-NET,AKT015,HONJO,39.384400,140.051900,5.0,70000000000.0,K-NET11C,
K-NET,AKT016,OHMAGARI,39.454500,140.475800,25.0,70000000000.0,K-NET11C,
K-NET,AKT017,YOKOTE,39.297800,140.562100,81.0,70000000000.0,K-NET11C,
K-NET,AKT018,CHOKAI,39.193700,140.189900,114.0,70000000000.0,K-NET11B,
K-NET,AKT019,OGACHI,39.039000,140.449000,173.0,70000000000.0,K-NET11B,
K-NET,AKT020,KISAKATA,39.202700,139.908800,7.0,70000000000.0,K-NET11B,
K-NET,AKT021,ANI,39.994000,140.403500,119.0,70000000000.0,K-NET11B,
K-NET,AKT022,TAMAGAWA,39.773900,140.666900,270.0,70000000000.0,K-NET11B,
K-NET,AKT023,TSUBAKIDAI,39.146400,140.716100,277.0,70000000000.0,K-NET11B,
K-NET,AOM001,OHMA,41.526900,140.924600,38.0,70000000000.0,K-NET18,
K-NET,AOM002,FUKUURA,41.328000,140.813200,13.0,70000000000.0,K-NET11B,
K-NET,AOM003,OHHATA,41.405400,141.169900,2.0,70000000000.0,K-NET11B,
K-NET,AOM004,SHIRIYA,41.406400,141.447700,29.0,70000000000.0,K-NET18,
K-NET,AOM005,MUTSU,41.294900,141.197200,10.0,70000000000.0,K-NET11B,
K-NET,AOM006,KAWAUCHI,41.197600,140.997900,1.0,70000000000.0,K-NET11B,
K-NET,AOM007,MINAMIDORI,41.168900,141.384500,17.0,70000000000.0,K-NET18,
K-NET,AOM008,YOKOHAMA,41.084400,141.255400,16.0,70000000000.0,K-NET11B,
