network,station,name,lat,lon,alt,sensitivity,site,vs30
SE-Net,2012144,SE-Net-241,25.053134,121.488669,0.0,70000000000.0,TREM-net,
SE-Net,2020616,SE-Net-249,25.139960,121.380862,0.0,70000000000.0,TREM-net,
SE-Net,3357860,SE-Net-542,23.969396,120.687137,0.0,70000000000.0,TREM-net,
SE-Net,4713608,SE-Net-704,23.010213,120.182220,0.0,70000000000.0,TREM-net,
SE-Net,4714360,SE-Net-402,24.127144,120.667768,0.0,70000000000.0,TREM-net,
SE-Net,4714556,SE-Net-270,24.597080,121.836062,0.0,70000000000.0,TREM-net,
SE-Net,4714888,SE-Net-500,24.060825,120.541275,0.0,70000000000.0,TREM-net,
SE-Net,4715392,SE-Net-402,24.116271,120.658414,0.0,70000000000.0,TREM-net,
SE-Net,4715792,SE-Net-205,25.100554,121.756843,0.0,70000000000.0,TREM-net,
SE-Net,4716320,SE-Net-324,24.917479,121.254287,0.0,70000000000.0,TREM-net,
SE-Net,4717572,SE-Net-236,24.974099,121.459325,0.0,70000000000.0,TREM-net,
SE-Net,4760684,SE-Net-264,24.711293,121.698554,0.0,70000000000.0,TREM-net,
MS-Net,4812424,MS-Net-269,24.665764,121.769527,0.0,70000000000.0,TREM-net,
SE-Net,4832348,SE-Net-545,23.973051,120.969927,0.0,70000000000.0,TREM-net,
SE-Net,4834840,SE-Net-811,22.716929,120.299072,0.0,70000000000.0,TREM-net,
SE-Net,5570908,SE-Net-500,24.078785,120.586874,0.0,70000000000.0,TREM-net,
SE-Net,5963580,SE-Net-718,22.938111,120.334701,0.0,70000000000.0,TREM-net,
SE-Net,5979128,SE-Net-242,25.033734,121.445715,0.0,70000000000.0,TREM-net,
SE-Net,5982528,SE-Net-360,24.570200,120.816236,0.0,70000000000.0,TREM-net,
SE-Net,6024300,SE-Net-640,23.680524,120.539421,0.0,70000000000.0,TREM-net,
SE-Net,6024428,SE-Net-434,24.203570,120.524298,0.0,70000000000.0,TREM-net,
SE-Net,6101688,SE-Net-420,24.263438,120.742302,0.0,70000000000.0,TREM-net,
SE-Net,6110036,SE-Net-970,23.973255,121.606900,0.0,70000000000.0,TREM-net,
MS-Net,6125804,MS-Net-646,23.586843,120.590785,0.0,70000000000.0,TREM-net,
MS-Net,6126556,MS-Net-974,23.895610,121.548655,0.0,70000000000.0,TREM-net,
SE-Net,6345688,SE-Net-710,23.027720,120.249293,0.0,70000000000.0,TREM-net,
SE-Net,6392144,SE-Net-335,24.929244,121.316823,0.0,70000000000.0,TREM-net,
SE-Net,6401324,SE-Net-220,25.034430,121.471672,0.0,70000000000.0,TREM-net,
SE-Net,6417400,SE-Net-360,24.554519,120.827466,0.0,70000000000.0,TREM-net,
SE-Net,6519912,SE-Net-830,22.620932,120.361228,0.0,70000000000.0,TREM-net,
SE-Net,6524876,SE-Net-540,23.911807,120.688549,0.0,70000000000.0,TREM-net,
SE-Net,6654540,SE-Net-412,24.101805,120.697820,0.0,70000000000.0,TREM-net,
SE-Net,6662308,SE-Net-330,25.003499,121.289971,0.0,70000000000.0,TREM-net,
SE-Net,6732340,SE-Net-711,22.980406,120.292724,0.0,70000000000.0,TREM-net,
SE-Net,6849608,SE-Net-600,23.470956,120.469561,0.0,70000000000.0,TREM-net,
SE-Net,6856296,SE-Net-251,25.179317,121.445932,0.0,70000000000.0,TREM-net,
SE-Net,6856664,SE-Net-508,24.134827,120.510474,0.0,70000000000.0,TREM-net,
SE-Net,6864536,SE-Net-643,23.777434,120.597523,0.0,70000000000.0,TREM-net,
SE-Net,7363648,SE-Net-0,37.659360,127.299730,0.0,70000000000.0,TREM-net,
SE-Net,7693052,SE-Net-614,23.463929,120.173658,0.0,70000000000.0,TREM-net,
SE-Net,7713276,SE-Net-508,24.112560,120.517535,0.0,70000000000.0,TREM-net,
SE-Net,7713716,SE-Net-601,23.486011,120.429902,0.0,70000000000.0,TREM-net,
SE-Net,7716472,SE-Net-338,25.060525,121.297400,0.0,70000000000.0,TREM-net,
SE-Net,7725352,SE-Net-950,22.752248,121.151863,0.0,70000000000.0,TREM-net,
SE-Net,7725532,SE-Net-436,24.266223,120.549628,0.0,70000000000.0,TREM-net,
SE-Net,9787328,SE-Net-830,22.607842,120.360930,0.0,70000000000.0,TREM-net,
SE-Net,9788124,SE-Net-407,24.185404,120.607901,0.0,70000000000.0,TREM-net,
SE-Net,10317492,SE-Net-114,25.086777,121.589048,0.0,70000000000.0,TREM-net,
SE-Net,11244428,SE-Net-553,23.796812,120.866011,0.0,70000000000.0,TREM-net,
SE-Net,11248996,SE-Net-730,23.316317,120.322852,0.0,70000000000.0,TREM-net,
SE-Net,11334552,SE-Net-981,23.332921,121.319022,0.0,70000000000.0,TREM-net,
SE-Net,11334672,SE-Net-958,23.124657,121.216647,0.0,70000000000.0,TREM-net,
SE-Net,11334680,SE-Net-714,23.120469,120.465585,0.0,70000000000.0,TREM-net,
SE-Net,11334772,SE-Net-603,23.544090,120.577221,0.0,70000000000.0,TREM-net,
SE-Net,11334780,SE-Net-830,22.635866,120.360375,0.0,70000000000.0,TREM-net,
MS-Net,11334880,MS-Net-711,22.980406,120.292724,0.0,70000000000.0,TREM-net,
SE-Net,11335736,SE-Net-826,22.725520,120.258371,0.0,70000000000.0,TREM-net,
SE-Net,11336648,SE-Net-812,22.568941,120.361938,0.0,70000000000.0,TREM-net,
SE-Net,11336816,SE-Net-710,23.022237,120.223811,0.0,70000000000.0,TREM-net,
MS-Net,11336952,MS-Net-979,23.576693,121.362569,0.0,70000000000.0,TREM-net,
SE-Net,11339360,SE-Net-981,23.346639,121.344342,0.0,70000000000.0,TREM-net,
MS-Net,11339620,MS-Net-335,24.929244,121.316823,0.0,70000000000.0,TREM-net,
SE-Net,11340764,SE-Net-540,23.889021,120.689878,0.0,70000000000.0,TREM-net,
SE-Net,11340836,SE-Net-116,24.990915,121.575948,0.0,70000000000.0,TREM-net,
SE-Net,11341244,SE-Net-269,24.651922,121.716684,0.0,70000000000.0,TREM-net,
SE-Net,11342416,SE-Net-905,22.809894,120.504666,0.0,70000000000.0,TREM-net,
SE-Net,11342740,SE-Net-814,22.687583,120.338969,0.0,70000000000.0,TREM-net,
SE-Net,11343152,SE-Net-105,25.049801,121.567697,0.0,70000000000.0,TREM-net,
SE-Net,11343556,SE-Net-327,24.975142,121.105086,0.0,70000000000.0,TREM-net,
SE-Net,11354012,SE-Net-978,23.494105,121.446337,0.0,70000000000.0,TREM-net,
SE-Net,11355624,SE-Net-231,24.949921,121.530330,0.0,70000000000.0,TREM-net,
SE-Net,11358232,SE-Net-201,25.137783,121.775924,0.0,70000000000.0,TREM-net,
SE-Net,11361000,SE-Net-710,23.036973,120.266730,0.0,70000000000.0,TREM-net,
SE-Net,11362396,SE-Net-269,24.665764,121.769527,0.0,70000000000.0,TREM-net,
SE-Net,11363084,SE-Net-604,23.519694,120.547686,0.0,70000000000.0,TREM-net,
SE-Net,11364524,SE-Net-411,24.153610,120.723421,0.0,70000000000.0,TREM-net,
SE-Net,11366796,SE-Net-231,24.984182,121.552252,0.0,70000000000.0,TREM-net,
SE-Net,11366940,SE-Net-427,24.224897,120.694238,0.0,70000000000.0,TREM-net,
SE-Net,11368592,SE-Net-600,23.468803,120.460397,0.0,70000000000.0,TREM-net,
MS-Net,11370676,MS-Net-541,23.861970,120.799123,0.0,70000000000.0,TREM-net,
SE-Net,11370996,SE-Net-269,24.632373,121.785422,0.0,70000000000.0,TREM-net,
SE-Net,11372592,SE-Net-807,22.650331,120.300085,0.0,70000000000.0,TREM-net,
SE-Net,11372876,SE-Net-710,23.006892,120.272693,0.0,70000000000.0,TREM-net,
SE-Net,11373176,SE-Net-710,22.999566,120.237040,0.0,70000000000.0,TREM-net,
SE-Net,11376580,SE-Net-603,23.588977,120.550197,0.0,70000000000.0,TREM-net,
SE-Net,11420168,SE-Net-247,25.085437,121.479489,0.0,70000000000.0,TREM-net,
SE-Net,12122300,SE-Net-260,24.776257,121.758667,0.0,70000000000.0,TREM-net,
SE-Net,12138096,SE-Net-515,23.983377,120.576569,0.0,70000000000.0,TREM-net,
SE-Net,12138356,SE-Net-402,24.124565,120.682704,0.0,70000000000.0,TREM-net,
SE-Net,12142048,SE-Net-247,25.093934,121.470988,0.0,70000000000.0,TREM-net,
SE-Net,12142332,SE-Net-242,25.020788,121.434934,0.0,70000000000.0,TREM-net,
SE-Net,12146472,SE-Net-411,24.156682,120.731341,0.0,70000000000.0,TREM-net,
SE-Net,12150148,SE-Net-112,25.132832,121.474691,0.0,70000000000.0,TREM-net,
SE-Net,12150496,SE-Net-813,22.680588,120.303272,0.0,70000000000.0,TREM-net,
SE-Net,12153996,SE-Net-351,24.683040,120.906212,0.0,70000000000.0,TREM-net,
SE-Net,12174516,SE-Net-234,25.005267,121.527299,0.0,70000000000.0,TREM-net,
SE-Net,12711640,SE-Net-234,25.007589,121.503709,0.0,70000000000.0,TREM-net,
SE-Net,13186520,SE-Net-408,24.152186,120.650537,0.0,70000000000.0,TREM-net,
SE-Net,13187488,SE-Net-406,24.190575,120.683151,0.0,70000000000.0,TREM-net,
SE-Net,13188516,SE-Net-320,24.945159,121.224096,0.0,70000000000.0,TREM-net,
SE-Net,13192148,SE-Net-557,23.752196,120.684335,0.0,70000000000.0,TREM-net,
SE-Net,13195020,SE-Net-406,24.183407,120.688309,0.0,70000000000.0,TREM-net,
SE-Net,13199380,SE-Net-301,24.780610,121.010880,0.0,70000000000.0,TREM-net,
SE-Net,13204180,SE-Net-235,24.999317,121.508695,0.0,70000000000.0,TREM-net,
SE-Net,13898616,SE-Net-423,24.243157,120.844440,0.0,70000000000.0,TREM-net,
SE-Net,14219088,SE-Net-806,22.607590,120.326391,0.0,70000000000.0,TREM-net,
SE-Net,14220884,SE-Net-304,24.868087,120.992822,0.0,70000000000.0,TREM-net,
SE-Net,14226992,SE-Net-301,24.784577,120.988921,0.0,70000000000.0,TREM-net,
SE-Net,14252376,SE-Net-220,24.993284,121.450740,0.0,70000000000.0,TREM-net,
SE-Net,14287896,SE-Net-711,22.982954,120.277994,0.0,70000000000.0,TREM-net,
SE-Net,14312724,SE-Net-208,25.225239,121.633467,0.0,70000000000.0,TREM-net,
SE-Net,14628520,SE-Net-807,22.675156,120.325461,0.0,70000000000.0,TREM-net,
SE-Net,14629688,SE-Net-402,24.113139,120.662879,0.0,70000000000.0,TREM-net,
SE-Net,14638108,SE-Net-973,23.970261,121.580485,0.0,70000000000.0,TREM-net,
SE-Net,14771008,SE-Net-403,24.141998,120.656045,0.0,70000000000.0,TREM-net,
SE-Net,14771688,SE-Net-720,23.172531,120.324301,0.0,70000000000.0,TREM-net,
SE-Net,14815076,SE-Net-350,24.712850,120.906016,0.0,70000000000.0,TREM-net,
SE-Net,15007248,SE-Net-904,22.748288,120.481541,0.0,70000000000.0,TREM-net,
SE-Net,15081076,SE-Net-541,23.861970,120.799123,0.0,70000000000.0,TREM-net,
SE-Net,15135276,SE-Net-337,25.093920,121.222945,0.0,70000000000.0,TREM-net,
SE-Net,15135488,SE-Net-555,23.889107,120.965681,0.0,70000000000.0,TREM-net,
SE-Net,15138024,SE-Net-235,24.991615,121.504870,0.0,70000000000.0,TREM-net,
SE-Net,15138748,SE-Net-260,24.742750,121.750162,0.0,70000000000.0,TREM-net,
SE-Net,15138828,SE-Net-830,22.623133,120.369953,0.0,70000000000.0,TREM-net,
SE-Net,15139656,SE-Net-241,25.058459,121.489267,0.0,70000000000.0,TREM-net,
SE-Net,15145292,SE-Net-974,23.887726,121.535043,0.0,70000000000.0,TREM-net,
SE-Net,15155772,SE-Net-544,23.909124,120.859561,0.0,70000000000.0,TREM-net,
SE-Net,15160072,SE-Net-712,23.037342,120.308464,0.0,70000000000.0,TREM-net,
SE-Net,15161764,SE-Net-811,22.722208,120.281088,0.0,70000000000.0,TREM-net,
SE-Net,15162188,SE-Net-600,23.466863,120.466581,0.0,70000000000.0,TREM-net,
SE-Net,15169592,SE-Net-412,24.080988,120.683676,0.0,70000000000.0,TREM-net,
SE-Net,15169676,SE-Net-338,25.078509,121.291012,0.0,70000000000.0,TREM-net,
SE-Net,15568676,SE-Net-266,24.671830,121.653071,0.0,70000000000.0,TREM-net,
SE-Net,15579012,SE-Net-239,24.965853,121.342331,0.0,70000000000.0,TREM-net,
SE-Net,15819896,SE-Net-950,22.751084,121.133752,0.0,70000000000.0,TREM-net,
SE-Net,15826108,SE-Net-983,23.276582,121.334419,0.0,70000000000.0,TREM-net,
SE-Net,15827904,SE-Net-541,23.874902,120.775013,0.0,70000000000.0,TREM-net,
